name,spaces,address,bus,subway
" 세교휴먼시아19단지
",539,"경기도 오산시 내삼미동 산5번지
",,
" 금암마을휴먼시아데시앙6단지
","1,851","경기도 오산시 금암동 515
",,
" 물향기마을휴먼시아꿈에그린13단지
","1,015","경기도 오산시 수청동 581
",,
" 오산원동힐스테이트
",628,"경기도 오산시 원동 901
",,
" 잔다리마을휴먼시아2단지
",836,"경기도 오산시 세교동 624
",,
" 이림
",455,"경기도 오산시 누읍동 561-1
",,
" 동주트리안
",28,"경기도 오산시 서동 129-6
",,
" 삼미마을엘크루19단지
",541,"경기도 오산시 수청동 625
",,
" 탑리
",656,"경기도 오산시 탑동 201-1
",,
" 갈곶피오레
",341,"경기도 오산시 갈곶동 715
",,
" 궐동대우3차
",240,"경기도 오산시 궐동 28-3
",,
" 우주마루(원동)
",69,"경기도 오산시 원동 379-12
",,
"재건축 신안연립
",656,"경기도 오산시 원동 781-3
",,
" 가림
",28,"경기도 오산시 원동 377-18
",,
" 랜드마크1(도시형)
",27,"경기도 오산시 궐동 609-2
",,
"오피스텔 더피나클
",99,"경기도 오산시 원동 844
",,
"오피스텔 르마레시티
",656,"경기도 오산시 원동 335-10
",,
"오피스텔 유탑유플레스
",656,"경기도 오산시 원동 360-15
",,
"오피스텔 월드타워팰리스
",656,"경기도 오산시 원동 560-17
",,
"오피스텔 명품하우스
",656,"경기도 오산시 원동 377-5
",,
"오피스텔 어반휴플러스
",656,"경기도 오산시 원동 379-1
",,
"오피스텔 물향기시티 1동
",656,"경기도 오산시 수청동 611-4
",,
"오피스텔 제이클래스오산대역
",656,"경기도 오산시 수청동 611-2
",,
"오피스텔 스마트캐슬
",656,"경기도 오산시 수청동 620-2
",,
"오피스텔 포트센트럴시티
",656,"경기도 오산시 수청동 608-8
",,
"오피스텔 명성위드스타
",656,"경기도 오산시 수청동 608-11
",,
